"id"	"tissue"	"sex"
"GTEX.13RTJ.0011.R4b.SM.5PNX1"	"GTEX.13RTJ"	"Amygdala"	1
"GTEX.13X6I.0011.R4b.SM.5PNU9"	"GTEX.13X6I"	"Amygdala"	1
"GTEX.145LS.0011.R4b.SM.5S2UT"	"GTEX.145LS"	"Amygdala"	2
"GTEX.15CHQ.0011.R4a.SM.686ZX"	"GTEX.15CHQ"	"Amygdala"	1
"GTEX.N7MT.0011.R4a.SM.2I3G9"	"GTEX.N7MT"	"Amygdala"	2
"GTEX.NPJ7.0011.R4a.SM.2I3GJ"	"GTEX.NPJ7"	"Amygdala"	2
"GTEX.13RTJ.0011.R5a.SM.5P9HR"	"GTEX.13RTJ"	"Caudate (basal ganglia)"	1
"GTEX.13X6I.0011.R5a.SM.5PNWW"	"GTEX.13X6I"	"Caudate (basal ganglia)"	1
"GTEX.145LS.0011.R5a.SM.5SI65"	"GTEX.145LS"	"Caudate (basal ganglia)"	2
"GTEX.15CHQ.0011.R5b.SM.6AJAN"	"GTEX.15CHQ"	"Caudate (basal ganglia)"	1
"GTEX.N7MT.0011.R5a.SM.2I3G6"	"GTEX.N7MT"	"Caudate (basal ganglia)"	2
"GTEX.NPJ7.0011.R5a.SM.33HBK"	"GTEX.NPJ7"	"Caudate (basal ganglia)"	2
"GTEX.13RTJ.0011.R10b.SM.5O9CW"	"GTEX.13RTJ"	"Frontal Cortex (BA9)"	1
"GTEX.13X6I.0011.R10a.SM.5PNWI"	"GTEX.13X6I"	"Frontal Cortex (BA9)"	1
"GTEX.145LS.0011.R10a.SM.5PNUQ"	"GTEX.145LS"	"Frontal Cortex (BA9)"	2
"GTEX.15CHQ.0011.R10b.SM.6AJBV"	"GTEX.15CHQ"	"Frontal Cortex (BA9)"	1
"GTEX.N7MT.0011.R10A.SM.2I3E1"	"GTEX.N7MT"	"Frontal Cortex (BA9)"	2
"GTEX.NPJ7.0011.R10A.SM.2I3E5"	"GTEX.NPJ7"	"Frontal Cortex (BA9)"	2
"GTEX.13RTJ.0011.R1a.SM.5O9D9"	"GTEX.13RTJ"	"Hippocampus"	1
"GTEX.13X6I.0011.R1b.SM.5PNZC"	"GTEX.13X6I"	"Hippocampus"	1
"GTEX.145LS.0011.R1b.SM.5PNUP"	"GTEX.145LS"	"Hippocampus"	2
"GTEX.15CHQ.0011.R1a.SM.6EU31"	"GTEX.15CHQ"	"Hippocampus"	1
"GTEX.N7MT.0011.R1a.SM.5SI7S"	"GTEX.N7MT"	"Hippocampus"	2
"GTEX.NPJ7.0011.R1a.SM.3GACT"	"GTEX.NPJ7"	"Hippocampus"	2
"GTEX.13RTJ.0011.R8b.SM.5O9DL"	"GTEX.13RTJ"	"Hypothalamus"	1
"GTEX.13X6I.0011.R8a.SM.5PNZF"	"GTEX.13X6I"	"Hypothalamus"	1
"GTEX.145LS.0011.R8b.SM.5PNXA"	"GTEX.145LS"	"Hypothalamus"	2
"GTEX.15CHQ.0011.R8b.SM.6EU32"	"GTEX.15CHQ"	"Hypothalamus"	1
"GTEX.N7MT.0011.R8a.SM.2I5GU"	"GTEX.N7MT"	"Hypothalamus"	2
"GTEX.NPJ7.0011.R8a.SM.2I3G2"	"GTEX.NPJ7"	"Hypothalamus"	2
"GTEX.13RTJ.0011.R2a.SM.5PNW9"	"GTEX.13RTJ"	"Substantia nigra"	1
"GTEX.13X6I.0011.R2b.SM.5PNWQ"	"GTEX.13X6I"	"Substantia nigra"	1
"GTEX.145LS.0011.R2a.SM.5PNZI"	"GTEX.145LS"	"Substantia nigra"	2
"GTEX.15CHQ.0011.R2b.SM.6AJAD"	"GTEX.15CHQ"	"Substantia nigra"	1
"GTEX.N7MT.0011.R2a.SM.2I3GI"	"GTEX.N7MT"	"Substantia nigra"	2
"GTEX.NPJ7.0011.R2a.SM.2I3GF"	"GTEX.NPJ7"	"Substantia nigra"	2
